shift_id,category,note
S100737,relief_no_show,Next shift guard did not pitch. Had to cover.
S106900,relief_no_show,client signed for the extra hrs but real reason is relief no show again
S108361,equipment_failure,"masjien is stukkend, alles met die hand gedoen"
S100877,equipment_failure,"generator fault, stayed to monitor"
S108162,client_requested,"client asked us to stay for the delivery, ok'd by centre mgmt"
S102786,staff_leave_covering,Covering for Mahlangu - booked off sick
S107007,no_signal,
S106106,late_handover,shift handover delayed by 30 min
S106463,relief_no_show,double shift because relief never pitched
S102332,relief_no_show,double shift because relief never pitched
S108056,relief_no_show,Nexxt shift guuard did not pitch. Had to cover.
S103439,relief_no_show,"no replacement sent, ngicela sort this out"
S100571,relief_no_show,relief no show AGAIN
S101332,late_handover,"handover late again, keys missing"
S107753,relief_no_show,"no replacement sent, ngicela sort this out.."
S106253,client_requested,Client requested deep clean before the audit - approved
S100168,no_signal,all fine
S104252,no_signal,sharp
S103008,late_handover,"oorhandiging was laat, gewag vir sleutels"
S105453,no_signal,akukho lutho
S106113,client_requested,etra hours approved by client for the event setup
S106907,late_handover,"oorhandiging was laat, gewag vir sleutels"
S106876,late_handover,"oorhandiging was laat, gewag vir sleutels"
S105345,relief_no_show,"next shift akafikanga, ngihlale kuze kube 06h00"
S106814,relief_no_show,"Mabaso didnt come in, covered the post"
S109082,late_handover,"hanodver late again, keys missing"
S107738,late_handover,"waited 50 min for handover, OB book not signed"
S107339,client_requested,"additional cover requested by site manager, signed off"
S100205,no_signal,no issues on site
S108984,staff_leave_covering,Covering for Pillay - booked off sick
S104765,late_handover,"waited 50 min for handover, ob book not signed"
S102055,relief_no_show,"covering Wyk post, no show no call"
S101825,late_handover,"late handover, waiting on paperwork"
S102559,no_signal,no incidents
S106334,client_requested,Client asked for extra patrol aftter the break-in Tuesday
S101061,client_requested,"stocktake ran over, client asked us to remain, they know they pay for it"
S108139,client_requested,"client asked us to stay for the delivery, ok'd by centre mgmt"
S106859,no_signal,fine
S103877,no_signal,sharp
S103656,staff_leave_covering,"DOUBLE DUTY TODAY, FOURIE ON FAMILY RESPONSIBILITY LEAVE"
S105093,client_requested,"client asked us to stay for the delivery, ok'd by centre mgmt.."
S105680,client_requested,"client wanted extra man on the gate for the event, approved"
S101121,no_signal,niks om te rapporteer nie
S108690,no_signal,no incidents
S105807,client_requested,klient het ekstra ure gevra vir stockake
S105217,late_handover,shift handover delayed by 25 min
S105371,no_signal,ok
S106224,staff_leave_covering,"gedek vir Adams, siek gemeld"
S108070,relief_no_show,stood in for Radebe
S104308,relief_no_show,Next shift guard did not pitch. Had to cover
S105062,no_signal,quiet shift
S101434,equipment_failure,"scrubber broke down, had to do the floor manually.."
S103671,staff_leave_covering,Covering for September - booked off sick..
S108354,staff_leave_covering,"gedek vir Tshabaala, siek gemeld"
S108267,client_requested,Centre mgr requested additionaal cover for stocktake
S108389,client_requested,"requested by centre management for load in, signed off"
S103433,client_requested,"stocktake ran over, client asked us to remain, they know they pay for it"
S106978,relief_no_show,"next shift akafikanga, ngihlale kuze kube six"
S106245,no_signal,sharp
S106878,relief_no_show,"September didt come in, covered the post"
S104428,client_requested,"stocktake ran over, client asked us to remain, thhey know they pay for it"
S102342,no_signal,.
S105877,no_signal,all good
S106936,no_signal,ok
S107938,late_handover,"late handover, waiting on paperwork"
S108000,late_handover,"handover late agn, keys missing.."
S103399,no_signal,ntr
S101233,relief_no_show,"took Jacobs shift as well, 2 posts 1 guard"
S101223,client_requested,Client requested deep clean before the audit - approved
S105661,relief_no_show,double shift because relief never pitched
S108187,late_handover,"oorhandiging was laat, gewag vir sletuels !"
S106210,no_signal,all good
S104295,equipment_failure,"machine down again, took twice as long"
S101088,equipment_failure,"scrubber broke down, had to do the floor manualyl"
S104328,client_requested,Centre manager requested additional cover for stocktake
S101143,client_requested,extra hours approved by client for the event seup
S107378,no_signal,n/a
S109333,equipment_failure,"lift out of order, everything carried up stairs, took long"
S106514,late_handover,shift handover delayed by 25 min
S101642,client_requested,Client requested deep clean before the audit - approved
S100593,relief_no_show,"took fourie shift as wll, 2 posts 1 guard"
S105147,client_requested,"client says stay till 06:00, dont know if office approved"
S105777,client_requested,"client asked us to stay for the delivery, ok'd by centre mgmt"
S103083,relief_no_show,"still on site, relief was suppose to come 0600"
S107881,client_requested,Client requested deep clean before the audit - approved
S100164,relief_no_show,"uFouire akezanga namhlanje, ngimele yena"
S106903,relief_no_show,relief no show AGAIN
S106247,relief_no_show,next shift guard did not pitch. had to cover
S108878,late_handover,"handover late again, keys missing"
S102888,staff_leave_covering,"double duty today, Mahlangu on family responsibility leave"
S107172,no_signal,nothing to report
S105907,relief_no_show,stood in for Mthembu
S107272,relief_no_show,"aflos het nie opgedaag nie, moes aanbly"
S107719,relief_no_show,Covered for Motaung again - 3rd time this month
S107751,relief_no_show,"September didnt come in, covered the post !"
S100406,no_signal,as per normal
S101019,late_handover,"late handover, waiting on paperwork"
S104171,client_requested,"requested by centre management for load in, signed off"
S100329,relief_no_show,client signed for the extra hours but real reason is relief no show again
S104084,late_handover,"late handover, waiting on paperwork"
S105455,staff_leave_covering,Covering for Mahlangu - booked off sick
S104307,client_requested,"requested by centre management for load in, signed off"
S107353,no_signal,nothing to report
S105081,relief_no_show,"control room says relief coming, nobody came"
S104524,no_signal,all quiet
S106429,late_handover,shift handover delayed by 30 min
S103630,relief_no_show,"Botha absent, took her rounds as well"
S101912,relief_no_show,"covering khumalo post, no show no call"
S106449,client_requested,client requested deep clean before the audit - approved !
S102915,staff_leave_covering,"worked through, Baloyi at the clinic"
S108089,relief_no_show,"conntrol room says relief coming, nobody came"
S100063,relief_no_show,"Botha didnt come in, covered the post"
S109151,no_signal,no incidents
S105810,relief_no_show,covered for mauel again - 3rd time this month
S100324,relief_no_show,"still on site, relief was suppose to come 06:00"
S108372,staff_leave_covering,"worked through, Sibiya at the clinic.."
S104893,late_handover,"waited 20 min for handover, OB book not signed"
S106412,relief_no_show,"uTshabalala akezanga namhlanje, ngimele yena"
S106153,relief_no_show,stood in for Pillay..
S107045,relief_no_show,relief no show AGAIN
S104802,client_requested,"extra patrol per client email, approved by office"
S108282,client_requested,klient het ekstra ure gevra vir stocktake
S103468,late_handover,"waited 25 min for handover, OB book not signed"
S100592,client_requested,"client asked us to stay for the delivery, ok'd by centre mgmt"
S104639,client_requested,"additional cover requested by site mgr, signed off"
S106391,no_signal,akukho lutho
S102310,no_signal,.
S108259,equipment_failure,"gate motor failed, manned it by hand till 6"
S107682,no_signal,-
S106087,relief_no_show,"relief only arrived 06h00, stayed until then"
S101617,no_signal,
S103563,no_signal,sharp
S107432,no_signal,ntr
S105979,no_signal,fine
S107340,staff_leave_covering,Covering for Mahlangu - bookked off sick
S103376,client_requested,"client wanted extra man on the gate for the event, approved"
S107293,relief_no_show,"relief never arrived, stayed on till 6"
S100954,no_signal,ok
S101549,late_handover,"handover late agn, keys missing"
S100624,no_signal,akukho lutho
S100926,relief_no_show,"covering Hendricks pos, no show no call"
S103528,client_requested,Centre mgr requested additional cover for stocktake
S107844,client_requested,Clint requested deep clean before the audit - approved
S106119,relief_no_show,"uMolefe akezanga namhlanje, ngimele yena"
S101874,relief_no_show,"no replacement sent, ngicela sort this out"
S107803,no_signal,fine
S105335,client_requested,client asked for extra patrol after the break-in tueesday
S107833,late_handover,"oorhandiging was laa, gewag vir sleutels"
S108358,relief_no_show,"took Motaung shift as well, 2 posts 1 guard"
S101505,no_signal,
S106236,client_requested,extra hours approved by clent for the event setup
S101047,client_requested,Centre manager requested additional cover for stocktake
S109288,no_signal,all quiet
S104123,no_signal,nothing to report
S108613,late_handover,"oorhandiging was laat, gewag vir sleutels"
S103780,no_signal,nothing to report
S109338,relief_no_show,relief no show again
S106991,client_requested,"client asked us to stay for the delivery, ok'd by cnetre mgmt"
S108913,relief_no_show,double shift bc relief never pitched
S101184,late_handover,shift handover delayed by 25 min
S101387,staff_leave_covering,"gedek vir Adaams, siek gemeld"
S108219,no_signal,nothing to report
S101599,relief_no_show,client signed for the extra hours but real reason is relief no show agin
S106262,relief_no_show,"covering Molefe post, no sow no call.."
S102769,no_signal,n/a
S109299,relief_no_show,"Hendricks didnt come in, coevred the post"
S101576,late_handover,"waited 30 min for handover, OB book not signed !"
S104408,relief_no_show,"ugNcobo akezanga namhlanje, ngimele yena"
S102020,relief_no_show,"took Wyk shift as well, 2 posts 1 guard"
S105189,client_requested,CLIENT REQUESTED DEEP CLEAN BEFORE THE AUDIT - APPROVED
S101875,late_handover,shift handover delayed by 30 min
S103448,relief_no_show,"Mokoena didnt come in, covered the pst"
S104440,relief_no_show,"waited for relief, nobody came through"
S103026,relief_no_show,relief no shwo AGAIN
S100892,relief_no_show,"uJacobs akezanga namhlanje, ngimele yena.."
S107877,late_handover,shift handover delayed by 45 min
S108492,no_signal,fine
S107113,late_handover,"handover late again, keys missing"
S104838,client_requested,"cllient says stay till 06h00, dont know if office approved"
S104527,relief_no_show,Covreed for Mabaso agn - 3rd time this month
S106371,staff_leave_covering,"double duty today, Dlamini on family responsibility leave"
S108108,relief_no_show,"aflos het nie opgedaag nie, moes aanbly"
S102956,late_handover,"late handover, waiting on paperwork.."
S101752,staff_leave_covering,"gedek vir Maluleke, siek gemeld"
S103686,relief_no_show,"relief never arrived, stayed on till 06h00"
S104188,relief_no_show,"TOOK SIBIYA SHIFT AS WELL, 2 POSTS 1 GUARD"
S107471,no_signal,.
S107963,relief_no_show,"Sithole absent, took her rounds as well.."
S101906,equipment_failure,"scrubber broke down, had to do the flooor manually"
S102383,client_requested,"client wanted extra man on the gate for the event, appoved"
S104172,equipment_failure,"generator fault, stayed to monitor"
S108025,relief_no_show,"reliief only arrived 06:00, stayed until then"
S109329,client_requested,"client says stay till 6am, dont kow if office approved"
S103063,relief_no_show,"took Wyk shift as well, 2 posts 1 guard"
S100422,staff_leave_covering,mavuso off sick. again. covered.
S107743,staff_leave_covering,"gedek vir Khumalo, siek gemeld !"
S100921,no_signal,as per normal
S108442,late_handover,"oorhandiging was laat, gewag vir sleutels"
S107824,client_requested,Centre manager requested additional cover for stocktake
S106793,relief_no_show,client signed for the extra hours but real reason is relief no show agn..
S101513,relief_no_show,"TOOK BOTHA SHIFT AS WELL, 2 POSTS 1 GUARD"
S102046,client_requested,"client wanted extra man on the gate for the event, approved"
S108952,late_handover,"handover late again, keys missign"
S105999,relief_no_show,stood in for Ndlovu
S103398,relief_no_show,"control room syas relief coming, nobody came"
S102032,equipment_failure,"machine down again, took twice as long.."
S108170,equipment_failure,"lift out of order, everything carried up stairs, took long"
S103186,late_handover,"waited 45 min for handover, ob book not signed"
S103258,no_signal,n/a
S102514,relief_no_show,"maluleke absent, took her rounds as well"
S101242,client_requested,extra hours approved by cliennt for the event setup
S103855,late_handover,"oorhandiging was laat, gewag vir sleutels"
S107720,equipment_failure,"machine down again, took twce as long"
S104067,no_signal,sharp
S105344,relief_no_show,"covering Mokoena post, no show no call"
S100153,equipment_failure,"buffer machine kaput, did the floor by hand"
S100195,client_requested,"additional cover requuested by site maanger, signed off"
S100504,no_signal,quiet shift
S107445,relief_no_show,"toko Fourie shift as well, 2 posts 1 guard"
S105589,client_requested,extra hours approoved by clinet for the event setup
S104419,late_handover,shift handover delayed by 25 min !
S107473,staff_leave_covering,"wroked through, naidoo at the clinic"
S101083,no_signal,quiet shift
S100377,equipment_failure,"masjien is stukkend, alles met die hand gedoen"
S102826,no_signal,n/a
S100391,relief_no_show,"aflos het nie opgedaag nie, moes aabnly"
S108328,relief_no_show,"covering Jacobs post, no show no call"
S100618,no_signal,nothing to report
S107742,relief_no_show,"control room says relief coming, nobdoy came"
S104637,client_requested,extra hours approved by client for the event setup
S100893,equipment_failure,"buffer machine kaput, did the floor by hand.."
S104125,relief_no_show,"waited for relief, nobody came through"
S103628,client_requested,extra hrs approved by client for the event setup
S106131,client_requested,extra hrs approved by client for the event setup
S107763,no_signal,no incidents
S107745,client_requested,"requested by centre management for load in, signed off !"
S106445,relief_no_show,no relief. stayed. someone must please sort the roster..
S106151,late_handover,shift handover delayed by 50 min
S103016,no_signal,ok
S104630,equipment_failure,"lift out of order, everything carried up stairs, took long"
S104543,client_requested,exra hours approved by client for the event setup
S104784,equipment_failure,"machine down agn, took twice as long.."
S101584,client_requested,Client requested deep clean before the audit - approved
S107058,relief_no_show,"control room says relief coming, nobody came"
S100599,staff_leave_covering,"double duty today, jacobs on family responsibility leave"
S106491,client_requested,Client asked for extra patrol after the break-in Tuesday
S108623,relief_no_show,"nxt shift akafikanga, ngihlale kuze kube 0600"
S108587,staff_leave_covering,"worked through, september at the clinic"
S107327,relief_no_show,no relief. staye. someone must pleease sort the roster !
S109285,late_handover,shift handover delayed by 30 min
S104563,late_handover,shift handover delayed by 30 min
S101903,no_signal,no incidents
S104534,relief_no_show,"took Wyk shift as well, 2 posts 1 guard.."
S100693,late_handover,"handover late agn, keys missing !"
S102396,relief_no_show,"next shift akafikanga, ngihlale kuze kube 06h00"
S108862,client_requested,"stocktake ran over, client asked us to remain, they know they pay for it"
S106564,client_requested,centre manager requested additional cover for stocktake
S101591,relief_no_show,"uAdams akezanga namhlanje, ngimele yena"
S107632,late_handover,shift handover delayed by 40 min
S107123,late_handover,"oorhandiging was laat, geewag vir sleutels"
S100716,staff_leave_covering,Botha off sick. again. covered
S106552,staff_leave_covering,Covering for Khumalo - booked off sick
S108889,equipment_failure,"masjien is stukkend, alles met die hand gedoen"
S100160,relief_no_show,"aflos het nie opgedaag nie, moes aanbly"
S108113,client_requested,"client wanted extra man on the gate for the event, approved"
S104315,relief_no_show,Covered for Zulu agn - 3rd time this month
S100588,late_handover,"oorhandiging was laat, gewag vir sletuels"
S106213,relief_no_show,"Radebe didnt come in, covered the post"
